feature,importance
numeric__reg_to_apply_days,1.5912666416959942
numeric__max_overdue_days,1.254676724955092
categorical__device_type_0,1.0489684094871516
categorical__device_type_1,1.0302636399253484
numeric__overdue_history,0.7699743293057002
categorical__city_tier_3,0.7171474514076781
categorical__device_type_2,0.7072564436216564
categorical__city_tier_1,0.6923500265001361
categorical__city_tier_2,0.6894997110290841
categorical__city_tier_4,0.6874913040972577
categorical__repayment_period_6,0.6729584284611507
categorical__education_level_5,0.6484906359302737
numeric__judicial_risk_score,0.6310804053882056
numeric__social_score,0.603150870845429
categorical__education_level_2,0.5862713035466313
categorical__repayment_period_36,0.5776489757563207
categorical__education_level_4,0.5684079093300544
categorical__repayment_period_12,0.5636930083820492
categorical__education_level_3,0.5525686272213972
numeric__multi_loan_count,0.5152059570222062
categorical__repayment_period_24,0.5139806325105171
numeric__credit_query_times,0.4748281724247294
categorical__repayment_period_3,0.45820744792411777
categorical__education_level_1,0.4307500170057997
numeric__telecom_score,0.4139390511260405
numeric__ecomm_risk_score,0.37258952146273416
numeric__emulator_flag,0.328565077572474
numeric__blacklist_hit,0.2753555771192659
numeric__gps_anomaly,0.26910468696962503
numeric__consumption_level,0.17629609322493417
numeric__income_level,0.13311671830453314
numeric__age,0.10630158027245776
numeric__apply_is_weekend,0.09660826452440996
numeric__apply_weekday_sin,0.08695832612810114
numeric__loan_amount_request,0.08593110633134808
numeric__session_count,0.07147723540398937
numeric__apply_weekday_cos,0.06397545832622954
numeric__page_depth,0.058710857062082726
numeric__app_duration,0.050629736012118294
numeric__apply_hour_cos,0.04994929191832706
numeric__apply_hour_sin,0.037004257563221385
numeric__credit_length_months,0.03351689323192628
numeric__click_frequency,0.032382708906300135
numeric__debt_income_ratio,0.03128898046798801
numeric__night_activity_ratio,0.030675608839080704
numeric__job_stability,0.021363955230672558
numeric__credit_utilization,0.019760148548340732
numeric__ip_change_freq,0.014227196315225185
numeric__apply_is_night,0.002719454073151912
numeric__device_risk_score,0.0025890753793532447
