feature,importance
numeric__max_overdue_days,3001.0
numeric__login_fail_count,2913.0
numeric__social_score,2560.0
numeric__judicial_risk_score,2384.0
numeric__telecom_score,1946.0
numeric__ecomm_risk_score,1840.0
numeric__job_stability,1798.0
numeric__night_activity_ratio,1792.0
numeric__debt_income_ratio,1572.0
numeric__apply_hour_cos,1540.0
numeric__credit_utilization,1538.0
numeric__apply_hour_sin,1510.0
numeric__loan_amount_request,1491.0
numeric__click_frequency,1434.0
numeric__overdue_history,1381.0
numeric__device_risk_score,1368.0
numeric__app_duration,1347.0
numeric__credit_query_times,1295.0
numeric__consumption_level,1286.0
numeric__reg_to_apply_days,1278.0
numeric__income_level,1164.0
numeric__credit_length_months,1161.0
numeric__age,1148.0
numeric__multi_loan_count,1100.0
numeric__session_count,800.0
numeric__page_depth,672.0
numeric__apply_weekday_sin,500.0
numeric__emulator_flag,404.0
numeric__ip_change_freq,384.0
numeric__apply_weekday_cos,324.0
numeric__gps_anomaly,314.0
numeric__blacklist_hit,297.0
categorical__education_level_2,139.0
categorical__device_type_0,138.0
categorical__repayment_period_12,132.0
categorical__marital_status_1,118.0
categorical__marital_status_0,117.0
categorical__education_level_5,116.0
categorical__repayment_period_6,110.0
categorical__gender_0,110.0
categorical__repayment_period_24,105.0
categorical__device_type_1,102.0
categorical__city_tier_1,100.0
categorical__education_level_3,97.0
categorical__city_tier_3,95.0
categorical__marital_status_2,83.0
categorical__city_tier_4,79.0
categorical__city_tier_2,73.0
categorical__education_level_4,65.0
categorical__education_level_1,56.0
categorical__gender_1,50.0
categorical__device_type_2,47.0
categorical__repayment_period_36,40.0
categorical__repayment_period_3,26.0
numeric__apply_is_weekend,16.0
numeric__apply_is_night,3.0
