feature,importance
numeric__reg_to_apply_days,21.350964017570472
numeric__max_overdue_days,20.45902459869142
numeric__overdue_history,12.707254125929545
numeric__social_score,7.19843465404296
numeric__judicial_risk_score,6.515911720339558
numeric__multi_loan_count,6.107374893277355
numeric__credit_query_times,4.792901063981326
numeric__telecom_score,3.869118939048475
numeric__ecomm_risk_score,3.3774021700977728
numeric__emulator_flag,2.167994176611374
numeric__blacklist_hit,1.62328610559453
numeric__gps_anomaly,1.5831348244298675
numeric__consumption_level,0.8277371256680525
numeric__age,0.5839394186840073
numeric__job_stability,0.5774901278230863
numeric__apply_hour_cos,0.5558301229470382
numeric__night_activity_ratio,0.480104727868286
numeric__debt_income_ratio,0.43318986555188904
numeric__apply_hour_sin,0.4099338714406518
numeric__click_frequency,0.37102651498609424
numeric__app_duration,0.3708182652372318
numeric__income_level,0.3496442173890916
numeric__credit_utilization,0.33061602129357054
numeric__loan_amount_request,0.325842068755148
numeric__session_count,0.2995035494551852
numeric__credit_length_months,0.28274682514942606
numeric__device_risk_score,0.22463566484658967
numeric__ip_change_freq,0.22065557251926324
numeric__apply_weekday_sin,0.17275149733288947
numeric__page_depth,0.1700862621094731
categorical__marital_status_1,0.13532428376609887
categorical__repayment_period_3,0.1285627243038804
numeric__apply_weekday_cos,0.12425694686954727
categorical__education_level_1,0.09655390048632544
categorical__city_tier_4,0.07359261243554113
categorical__education_level_2,0.06393355544245438
categorical__gender_1,0.061960277323858934
categorical__education_level_5,0.05831421733137411
categorical__repayment_period_36,0.05616822041828922
categorical__repayment_period_12,0.05517427252765352
categorical__repayment_period_6,0.054683600254746445
categorical__city_tier_1,0.04954140422092875
categorical__education_level_4,0.04872334803629632
categorical__device_type_2,0.04045509147698817
categorical__marital_status_0,0.035068776634599966
categorical__city_tier_3,0.031087366992919557
categorical__gender_0,0.02947145399812104
categorical__education_level_3,0.028870720946855992
categorical__device_type_0,0.026268394197609003
categorical__repayment_period_24,0.021135467763813285
numeric__apply_is_night,0.013616372239273178
categorical__marital_status_2,0.010893452857315576
numeric__apply_is_weekend,0.009731170581281272
categorical__device_type_1,0.004789919486993443
categorical__city_tier_2,0.0024694407355671474
