feature,importance
numeric__reg_to_apply_days,1.3096687834454415
numeric__max_overdue_days,1.1944763753575027
numeric__overdue_history,0.7339572511940851
numeric__judicial_risk_score,0.599960592333791
numeric__social_score,0.5694794166597702
numeric__multi_loan_count,0.48606189295276214
numeric__credit_query_times,0.45099029865219176
numeric__telecom_score,0.3914146753582417
numeric__ecomm_risk_score,0.3516843656868675
numeric__emulator_flag,0.3173879151087308
numeric__blacklist_hit,0.26776152790242724
numeric__gps_anomaly,0.2598978089673032
numeric__consumption_level,0.1406304104242979
categorical__device_type_2,0.11803876452675717
categorical__education_level_1,0.09878322355794097
numeric__income_level,0.09553204641026805
numeric__age,0.095477374515069
categorical__repayment_period_6,0.09132357145587612
numeric__loan_amount_request,0.07966180710905449
categorical__marital_status_1,0.07631946489333677
numeric__apply_is_weekend,0.07340502381631998
categorical__repayment_period_3,0.07098247197195383
categorical__device_type_0,0.07069859758138602
numeric__apply_weekday_sin,0.06498787454819459
numeric__session_count,0.06195028957913997
numeric__page_depth,0.05397522402753413
categorical__marital_status_2,0.05356324339901602
numeric__apply_weekday_cos,0.05126039730311012
categorical__education_level_5,0.05097183904467466
categorical__device_type_1,0.050550951822164465
numeric__app_duration,0.045081384789896116
numeric__apply_hour_cos,0.04472826671372811
categorical__gender_0,0.03713299359645469
categorical__education_level_2,0.03693159299251442
categorical__gender_1,0.03392220871966329
numeric__apply_hour_sin,0.03372793009554387
numeric__credit_length_months,0.029336990047415436
numeric__click_frequency,0.029312212134768516
numeric__night_activity_ratio,0.02705923044191865
numeric__debt_income_ratio,0.025095741322041523
categorical__repayment_period_24,0.019844715666326722
numeric__job_stability,0.01971886045099422
categorical__marital_status_0,0.019545436617528555
categorical__city_tier_3,0.01705760038635362
categorical__education_level_4,0.014294004470757037
numeric__credit_utilization,0.013687600237629027
categorical__city_tier_1,0.01242766751437122
numeric__ip_change_freq,0.011039584705715148
categorical__city_tier_4,0.005585655804223716
categorical__city_tier_2,0.0041665078090318
numeric__device_risk_score,0.003430265219045151
numeric__apply_is_night,0.002595626334936418
categorical__repayment_period_12,0.0019871376349012535
categorical__repayment_period_36,0.0007272634242946319
categorical__education_level_3,0.00020342807321525088
