feature,importance
numeric__login_fail_count,1.7695704580352303
numeric__reg_to_apply_days,1.5022559064969954
numeric__max_overdue_days,1.2190128258336321
numeric__overdue_history,0.776731740765234
numeric__social_score,0.6557816322088952
numeric__telecom_score,0.5732914841414279
numeric__judicial_risk_score,0.5309262993773913
numeric__multi_loan_count,0.5256555950271113
numeric__credit_query_times,0.5173467794614991
numeric__ecomm_risk_score,0.45306751812960366
numeric__gps_anomaly,0.324852829042188
numeric__emulator_flag,0.31860174831303756
numeric__blacklist_hit,0.26986169804504406
numeric__loan_amount_request,0.2222617300481668
categorical__repayment_period_24,0.19108471997496013
categorical__city_tier_2,0.16092294671631857
categorical__city_tier_1,0.13566757941003138
numeric__consumption_level,0.12843950203915686
numeric__app_duration,0.11975469338443184
numeric__apply_is_weekend,0.1115967934909423
numeric__session_count,0.09975248313525772
numeric__apply_weekday_sin,0.09646824184186382
categorical__education_level_5,0.09280358151492434
categorical__city_tier_3,0.09007836975174253
categorical__repayment_period_36,0.08900042456468678
categorical__device_type_2,0.08861884772489714
categorical__marital_status_1,0.08700730107904128
categorical__education_level_3,0.08597914082615371
numeric__ip_change_freq,0.08381669800685593
categorical__repayment_period_6,0.0779080388596885
numeric__job_stability,0.07642565766138314
numeric__page_depth,0.07579651460045708
categorical__gender_0,0.07575169746374609
categorical__device_type_0,0.07567759512027451
categorical__gender_1,0.07532308129103814
categorical__education_level_1,0.06612497802721468
categorical__city_tier_4,0.06439438627274506
numeric__debt_income_ratio,0.06249686394994801
numeric__apply_is_night,0.06237918208079895
categorical__repayment_period_12,0.0616860589206413
categorical__education_level_2,0.0539612787452306
categorical__marital_status_2,0.05062501453358769
numeric__age,0.043751486694633045
categorical__repayment_period_3,0.037081186197347855
categorical__marital_status_0,0.03595367037274637
numeric__credit_length_months,0.03504642277086561
numeric__apply_weekday_cos,0.03370472205623894
numeric__apply_hour_sin,0.027109931876992153
numeric__apply_hour_cos,0.027022465013998423
numeric__credit_utilization,0.02084938576064413
numeric__click_frequency,0.019895124905102597
categorical__education_level_4,0.01941675614346294
numeric__device_risk_score,0.019205349362314113
categorical__device_type_1,0.013369868777329375
numeric__night_activity_ratio,0.012818569097299348
numeric__income_level,6.584487579983772e-05
