feature,importance
numeric__reg_to_apply_days,1.5955539872861866
numeric__max_overdue_days,1.2571214404933124
categorical__gender_0,1.0281694677292006
categorical__gender_1,0.9377907925101762
categorical__device_type_0,0.7806166729357185
numeric__overdue_history,0.7702362420505194
categorical__device_type_1,0.7589823034724853
categorical__marital_status_1,0.7508847088055416
numeric__judicial_risk_score,0.6313631616291614
categorical__marital_status_0,0.6220476995189473
numeric__social_score,0.6035186191529356
categorical__marital_status_2,0.5930278519148846
numeric__multi_loan_count,0.515980430684654
categorical__repayment_period_6,0.5133109617735293
categorical__city_tier_3,0.512173669981947
categorical__city_tier_2,0.4897340032527103
categorical__city_tier_4,0.48271254770697664
categorical__city_tier_1,0.4813400392977433
categorical__education_level_5,0.4785745616516936
numeric__credit_query_times,0.476396024874624
categorical__education_level_2,0.42983282986583143
categorical__device_type_2,0.4263612838311677
numeric__telecom_score,0.4145276518167775
categorical__repayment_period_36,0.413021288396131
categorical__education_level_4,0.40693358977752236
categorical__repayment_period_12,0.39736077034054323
categorical__education_level_3,0.3898081224602368
numeric__ecomm_risk_score,0.3735744848493475
categorical__repayment_period_24,0.3518024364872366
numeric__emulator_flag,0.32888305030014375
categorical__repayment_period_3,0.29046480324193646
numeric__blacklist_hit,0.2759756821625352
numeric__gps_anomaly,0.26743816788316854
categorical__education_level_1,0.2608111564840905
numeric__consumption_level,0.17761508319534008
numeric__income_level,0.13589857569779512
numeric__age,0.10694200354614686
numeric__apply_is_weekend,0.0982969700191511
numeric__apply_weekday_sin,0.08870999832370566
numeric__loan_amount_request,0.08545508041655989
numeric__session_count,0.07144926798427904
numeric__apply_weekday_cos,0.06300836198739465
numeric__page_depth,0.05914326895244966
numeric__app_duration,0.053306002180604474
numeric__apply_hour_cos,0.04959164917891894
numeric__apply_hour_sin,0.03732415712919873
numeric__click_frequency,0.03239678734998233
numeric__credit_length_months,0.030862207164671918
numeric__debt_income_ratio,0.030043315989069157
numeric__night_activity_ratio,0.029834622476559654
numeric__job_stability,0.023459541686904842
numeric__credit_utilization,0.017822699388642022
numeric__ip_change_freq,0.012410515435738219
numeric__apply_is_night,0.002252096080927062
numeric__device_risk_score,0.001448596654201547
