feature,importance
numeric__login_fail_count,0.25158312916755676
numeric__max_overdue_days,0.13867102563381195
numeric__overdue_history,0.0588858425617218
numeric__judicial_risk_score,0.05449916794896126
numeric__reg_to_apply_days,0.05124526470899582
numeric__blacklist_hit,0.04372747614979744
numeric__emulator_flag,0.03895900398492813
numeric__gps_anomaly,0.029923029243946075
numeric__social_score,0.028755495324730873
numeric__multi_loan_count,0.025466782972216606
numeric__credit_query_times,0.02477821707725525
numeric__telecom_score,0.02136934921145439
numeric__ecomm_risk_score,0.017196668311953545
numeric__age,0.0110330730676651
categorical__education_level_5,0.010009157471358776
numeric__page_depth,0.009555180557072163
numeric__apply_is_weekend,0.009522256441414356
numeric__consumption_level,0.009033982641994953
categorical__education_level_1,0.008750787004828453
numeric__click_frequency,0.008583554066717625
numeric__credit_utilization,0.008242820389568806
numeric__session_count,0.008163157850503922
categorical__education_level_3,0.00799125712364912
numeric__night_activity_ratio,0.007972988300025463
numeric__job_stability,0.00792520958930254
numeric__debt_income_ratio,0.007823723368346691
numeric__apply_hour_sin,0.007446328178048134
numeric__device_risk_score,0.00722851138561964
numeric__loan_amount_request,0.007096304092556238
numeric__apply_weekday_sin,0.0068460069596767426
categorical__marital_status_2,0.0067587546072900295
numeric__apply_hour_cos,0.006711709313094616
numeric__income_level,0.00662861717864871
numeric__apply_weekday_cos,0.006411266978830099
categorical__device_type_0,0.006125296466052532
numeric__app_duration,0.006089449394494295
numeric__credit_length_months,0.005948246922343969
categorical__marital_status_1,0.0059430249966681
categorical__repayment_period_24,0.005719237960875034
numeric__ip_change_freq,0.005555924028158188
categorical__gender_1,0.005550547502934933
categorical__gender_0,0.004273205529898405
categorical__city_tier_2,0.0
categorical__repayment_period_12,0.0
categorical__repayment_period_6,0.0
categorical__repayment_period_3,0.0
categorical__city_tier_4,0.0
categorical__city_tier_3,0.0
categorical__device_type_2,0.0
categorical__city_tier_1,0.0
categorical__education_level_2,0.0
categorical__marital_status_0,0.0
numeric__apply_is_night,0.0
categorical__education_level_4,0.0
categorical__device_type_1,0.0
categorical__repayment_period_36,0.0
