feature,importance
numeric__login_fail_count,0.3607863804242114
numeric__max_overdue_days,0.19613740509056973
numeric__reg_to_apply_days,0.08484338513009032
numeric__overdue_history,0.07886695374275662
numeric__judicial_risk_score,0.062240677108584164
numeric__social_score,0.05057453223331627
numeric__multi_loan_count,0.02674092377145299
numeric__emulator_flag,0.020979842340385513
numeric__credit_query_times,0.019739273965016745
numeric__telecom_score,0.0170620174200852
numeric__blacklist_hit,0.015211229366963785
numeric__ecomm_risk_score,0.011858617588132914
numeric__gps_anomaly,0.010395824143157279
numeric__job_stability,0.003375564178529784
numeric__apply_hour_cos,0.002860484249047768
numeric__app_duration,0.0028586749108530005
numeric__debt_income_ratio,0.0028439354357042345
numeric__night_activity_ratio,0.0028314553602643336
numeric__credit_utilization,0.002734338246788133
numeric__apply_hour_sin,0.002643875769163091
numeric__loan_amount_request,0.0024397655555451754
numeric__click_frequency,0.002415121394139956
numeric__device_risk_score,0.0023753742169865697
numeric__consumption_level,0.0023507249244879586
numeric__income_level,0.0022432656697334336
numeric__age,0.0018842259547193806
numeric__credit_length_months,0.0017662969103942638
numeric__session_count,0.0013824678666269586
numeric__page_depth,0.001027007413370618
numeric__apply_weekday_sin,0.0008172992974363633
numeric__ip_change_freq,0.0007711320815293254
numeric__apply_weekday_cos,0.00048827047297105724
categorical__gender_0,0.00028535802098583654
categorical__repayment_period_6,0.00027769048662301064
categorical__gender_1,0.0002725306906362311
categorical__city_tier_3,0.0002662313472762603
categorical__device_type_1,0.00023823020312623006
categorical__marital_status_2,0.00022743226463102945
categorical__repayment_period_24,0.00021879718339599534
categorical__city_tier_1,0.00021057738573503347
categorical__education_level_2,0.0002097413104132964
numeric__apply_is_weekend,0.00019690242886401783
categorical__city_tier_4,0.0001910018436145139
categorical__device_type_0,0.00017872894343721836
categorical__education_level_4,0.00017225945933933926
categorical__repayment_period_12,0.00017083413182566686
categorical__marital_status_1,0.00016571912472142973
categorical__city_tier_2,0.00016317766906136813
categorical__education_level_5,0.00015913422638109804
categorical__education_level_3,0.00015866578509736334
categorical__marital_status_0,0.00014725524413641787
categorical__repayment_period_36,0.00013958645250153884
categorical__education_level_1,0.0001353872025457343
categorical__device_type_2,0.00012641499294392398
categorical__repayment_period_3,8.148836665276657e-05
numeric__apply_is_night,6.0513003040215616e-05
