feature,importance
numeric__reg_to_apply_days,21.659568503399125
numeric__max_overdue_days,20.209101715846487
numeric__overdue_history,13.004302536001505
numeric__social_score,7.587560682148312
numeric__judicial_risk_score,6.4612566330510095
numeric__multi_loan_count,5.653714200079752
numeric__credit_query_times,4.54526289597032
numeric__telecom_score,3.9053687286937055
numeric__ecomm_risk_score,3.3774901028445647
numeric__emulator_flag,2.2022555828860764
numeric__gps_anomaly,1.6349460109282878
numeric__blacklist_hit,1.6239951506868855
numeric__job_stability,0.6565395504313692
numeric__consumption_level,0.6501865573317507
numeric__debt_income_ratio,0.5754674892898779
numeric__night_activity_ratio,0.5740707196259311
numeric__apply_hour_cos,0.5205254341757946
numeric__click_frequency,0.4757414928187138
numeric__apply_hour_sin,0.4383867130038859
numeric__app_duration,0.4348367309489694
numeric__loan_amount_request,0.4145676001661609
numeric__income_level,0.3623882814972588
numeric__age,0.3608842795874161
numeric__credit_utilization,0.32753673978765807
numeric__ip_change_freq,0.2876200644380988
numeric__device_risk_score,0.28235637626551796
numeric__session_count,0.25997745947463113
numeric__credit_length_months,0.2462927352137112
numeric__apply_weekday_cos,0.2368152094196828
categorical__education_level_1,0.15237845299524974
numeric__apply_weekday_sin,0.12761520595758863
categorical__repayment_period_3,0.10858503633030477
numeric__page_depth,0.09213789052617127
categorical__repayment_period_24,0.08556805791235066
categorical__repayment_period_6,0.06872984618653422
categorical__repayment_period_36,0.05937310759505568
categorical__city_tier_3,0.05636125435671366
categorical__education_level_3,0.04739412582048421
categorical__device_type_2,0.039396618410040656
categorical__education_level_5,0.036292046361214435
categorical__repayment_period_12,0.033887225415395836
numeric__apply_is_night,0.030505301346451692
categorical__city_tier_1,0.026910363797814193
categorical__education_level_4,0.02389395305818565
categorical__device_type_1,0.022514689842012832
categorical__city_tier_4,0.010320257367857591
categorical__city_tier_2,0.005573167289533076
categorical__education_level_2,0.0035472234185874854
categorical__device_type_0,0.0
numeric__apply_is_weekend,0.0
