feature,importance
model_term_008,1.2096308498325352
model_term_010,0.6029908068594444
model_term_000,0.49532793219573157
model_term_003,0.37156206012859355
model_term_001,0.3229599372168843
model_term_002,0.26550712885210725
model_term_006,0.12978115084401326
model_term_007,0.09677328015936745
model_term_016,0.07404951883357183
model_term_005,0.06793920874955146
model_term_011,0.05993780697959361
model_term_013,0.058039026412920684
model_term_009,0.052960984913746095
model_term_017,0.040311407235976024
model_term_014,0.035735534733185845
model_term_015,0.03518928130208532
model_term_004,0.03348360194366146
model_term_012,0.03184534211482324
