feature,importance
numeric__login_fail_count,0.3339525241276688
numeric__max_overdue_days,0.175628476267226
numeric__overdue_history,0.07146307719760937
numeric__reg_to_apply_days,0.06978816384416742
numeric__judicial_risk_score,0.05539138646876199
numeric__social_score,0.04268580672077436
numeric__telecom_score,0.023135565187306202
numeric__multi_loan_count,0.021707129926995635
numeric__credit_query_times,0.0202712128797193
numeric__ecomm_risk_score,0.016887337935143527
numeric__emulator_flag,0.014118557741979322
numeric__blacklist_hit,0.010536807011330411
numeric__app_duration,0.008412194731638437
numeric__job_stability,0.008311197447626196
numeric__night_activity_ratio,0.008186662595596823
numeric__loan_amount_request,0.008063868788640946
numeric__device_risk_score,0.008047217886097762
numeric__apply_hour_cos,0.007935239552087444
numeric__credit_utilization,0.007861915357823076
numeric__debt_income_ratio,0.00785148932586575
numeric__consumption_level,0.007702870120467639
numeric__apply_hour_sin,0.007686334026206972
numeric__gps_anomaly,0.007395158311020267
numeric__click_frequency,0.006995228566619399
numeric__income_level,0.006885912203428902
numeric__credit_length_months,0.006252166378648192
numeric__age,0.006077229880337117
numeric__session_count,0.004429832346391588
numeric__page_depth,0.003728799938476923
numeric__apply_weekday_sin,0.002958950886776037
numeric__ip_change_freq,0.0026294799706778425
numeric__apply_weekday_cos,0.0020638742865329482
categorical__marital_status_1,0.0010346004866886363
categorical__device_type_0,0.0009572513216694627
categorical__gender_1,0.0008687423437418969
categorical__repayment_period_12,0.0008532776252664115
categorical__city_tier_3,0.0008205292423982287
categorical__gender_0,0.0008178714818285484
categorical__device_type_1,0.0008082089425644237
categorical__repayment_period_24,0.0008080557625538853
categorical__education_level_3,0.0007167839852442069
categorical__city_tier_2,0.0006801174488817909
categorical__education_level_4,0.0006322431338380448
categorical__repayment_period_6,0.0006284980093567418
categorical__education_level_5,0.000627744058615417
numeric__apply_is_weekend,0.0006022617481361393
categorical__marital_status_2,0.0005884417595346908
categorical__marital_status_0,0.0005736778096048497
categorical__city_tier_4,0.0005305152193442741
categorical__education_level_2,0.0005274299752572617
categorical__city_tier_1,0.0004352036113872863
categorical__device_type_2,0.000333973072387004
numeric__apply_is_night,0.0003095667317128936
categorical__repayment_period_36,0.0002941336500907668
categorical__education_level_1,0.00028747996072861574
categorical__repayment_period_3,0.00022172470952601538
