feature,importance
credit_query_times,179.0
multi_loan_count,160.0
overdue_history,209.0
credit_utilization,122.0
credit_length_months,77.0
max_overdue_days,413.0
social_score,297.0
telecom_score,211.0
ecomm_risk_score,180.0
judicial_risk_score,254.0
blacklist_hit,64.0
app_duration,100.0
click_frequency,93.0
page_depth,55.0
session_count,43.0
night_activity_ratio,107.0
login_fail_count,405.0
reg_to_apply_days,258.0
device_risk_score,96.0
ip_change_freq,32.0
gps_anomaly,67.0
device_type,8.0
emulator_flag,75.0
age,81.0
income_level,82.0
consumption_level,87.0
education_level,23.0
job_stability,135.0
marital_status,14.0
gender,12.0
city_tier,7.0
debt_income_ratio,141.0
loan_amount_request,73.0
repayment_period,13.0
apply_hour_sin,74.0
apply_hour_cos,102.0
apply_weekday_sin,31.0
apply_weekday_cos,16.0
apply_is_weekend,0.0
apply_is_night,4.0
