feature,importance
numeric__login_fail_count,1.7941571496838875
numeric__reg_to_apply_days,1.5602131459735962
numeric__max_overdue_days,1.2800167273527352
numeric__overdue_history,0.7386314569076117
numeric__social_score,0.6984010788001713
numeric__judicial_risk_score,0.6162400827608855
numeric__multi_loan_count,0.5266873902883117
numeric__credit_query_times,0.5030616919351996
numeric__telecom_score,0.4814893604169516
numeric__emulator_flag,0.3590467513230115
numeric__ecomm_risk_score,0.34088937946847586
numeric__gps_anomaly,0.3036049247390578
numeric__blacklist_hit,0.27406063450788487
numeric__age,0.18189039213062924
categorical__device_type_2,0.15387265895293817
categorical__education_level_3,0.1497774014111993
numeric__consumption_level,0.14863058430861775
categorical__education_level_1,0.1430367733448055
categorical__device_type_0,0.13838727123457314
numeric__loan_amount_request,0.12691380586091375
categorical__repayment_period_6,0.12062942919394061
numeric__page_depth,0.11365282195203899
numeric__session_count,0.11061015189437043
numeric__ip_change_freq,0.10162520756517701
numeric__job_stability,0.10106668807298563
numeric__apply_weekday_cos,0.09400503147255461
categorical__repayment_period_24,0.09067737576144806
numeric__apply_is_night,0.08810266122487773
numeric__income_level,0.07982597149320135
categorical__education_level_2,0.07527935929980695
numeric__apply_weekday_sin,0.06878689091443173
categorical__education_level_4,0.057535075509192755
categorical__marital_status_1,0.048397303083528395
numeric__apply_hour_cos,0.047381069527471245
categorical__gender_1,0.04707039498181485
numeric__device_risk_score,0.044888936609140014
categorical__city_tier_3,0.04487447807207947
categorical__marital_status_2,0.04102790995182353
numeric__app_duration,0.03944166522829223
categorical__gender_0,0.038949470355828575
numeric__night_activity_ratio,0.033066698375243536
categorical__education_level_5,0.03260583648299924
categorical__repayment_period_3,0.030508157835745564
numeric__apply_is_weekend,0.03022766602734943
categorical__city_tier_2,0.02867408207476673
categorical__repayment_period_36,0.021594550588884084
categorical__city_tier_4,0.020895979140152385
categorical__marital_status_0,0.015490317757694608
categorical__repayment_period_12,0.014029730366134537
numeric__apply_hour_sin,0.013648180072764821
numeric__click_frequency,0.013290531078135714
numeric__debt_income_ratio,0.011021429384832849
categorical__device_type_1,0.007364463092369289
numeric__credit_utilization,0.00716415997247168
numeric__credit_length_months,0.0062526307419972895
categorical__city_tier_1,0.0034253414831465776
