feature,importance
numeric__login_fail_count,16.850736714885436
numeric__max_overdue_days,11.757241985433804
numeric__reg_to_apply_days,6.6743931074963125
numeric__overdue_history,5.75918350608524
numeric__judicial_risk_score,4.801518026416018
numeric__social_score,4.495235732427443
numeric__telecom_score,3.9827548103824726
numeric__multi_loan_count,3.5180364696965354
numeric__credit_query_times,3.514904838449304
numeric__ecomm_risk_score,3.0436731429701824
numeric__job_stability,2.4307770447825994
numeric__debt_income_ratio,2.1613225122731827
numeric__app_duration,2.020717923869577
numeric__credit_utilization,1.9922459506723385
numeric__loan_amount_request,1.8289243981480923
numeric__night_activity_ratio,1.8150936652455314
numeric__device_risk_score,1.7010122522140225
numeric__click_frequency,1.4909459214439396
numeric__apply_hour_sin,1.4326466202078478
numeric__consumption_level,1.3791255353409377
numeric__credit_length_months,1.3501562343099693
numeric__age,1.3158537780523718
numeric__apply_hour_cos,1.2723110078938937
numeric__income_level,1.1768854248757483
numeric__session_count,1.1514519739886129
numeric__emulator_flag,1.1180634212817626
numeric__apply_weekday_sin,1.026834274344168
numeric__apply_weekday_cos,0.9834911342830597
numeric__gps_anomaly,0.9714227241658149
numeric__blacklist_hit,0.801929868919595
numeric__page_depth,0.7840799426727519
numeric__ip_change_freq,0.7589154904762095
categorical__repayment_period_12,0.4107412110755896
categorical__city_tier_2,0.385633843696781
categorical__education_level_5,0.3792640355356299
categorical__city_tier_3,0.3686548710849204
categorical__repayment_period_6,0.33656792097475374
categorical__education_level_2,0.3146599719302801
categorical__marital_status_2,0.2958637467482622
categorical__education_level_3,0.2753454809737606
categorical__device_type_0,0.24142781034951905
categorical__repayment_period_24,0.21529299423840048
categorical__city_tier_1,0.19550295676539078
categorical__city_tier_4,0.19160217092891213
categorical__marital_status_1,0.1483777183916065
categorical__gender_0,0.12981489669061702
categorical__gender_1,0.11844132727517506
categorical__marital_status_0,0.10395420553540549
numeric__apply_is_weekend,0.10344623226883437
categorical__device_type_2,0.09722076498879201
categorical__repayment_period_36,0.0874344988753212
categorical__education_level_4,0.08463348630869359
categorical__education_level_1,0.08169477553973901
categorical__device_type_1,0.044889548054443694
categorical__repayment_period_3,0.02765009806437198
numeric__apply_is_night,0.0
