feature,importance
numeric__reg_to_apply_days,17.771776076309113
numeric__max_overdue_days,15.914126478911859
numeric__overdue_history,10.32794306453531
numeric__social_score,6.97161462852359
numeric__judicial_risk_score,6.016828718671613
numeric__multi_loan_count,5.785335304547232
numeric__credit_query_times,4.431191949815039
numeric__telecom_score,4.135406641411504
numeric__ecomm_risk_score,3.6737316106187814
numeric__emulator_flag,1.8116267392574035
numeric__gps_anomaly,1.4315896903066014
numeric__job_stability,1.3121458141462834
numeric__blacklist_hit,1.1919774011140558
numeric__apply_hour_sin,1.1900429391760161
numeric__debt_income_ratio,1.1752797036271412
numeric__night_activity_ratio,1.166981623995276
numeric__app_duration,1.0795469338492347
numeric__consumption_level,1.0395628992884955
numeric__loan_amount_request,1.0184963234910398
numeric__age,0.9952322661542748
numeric__apply_hour_cos,0.9737948950287931
numeric__click_frequency,0.9545781131431397
numeric__credit_utilization,0.8553026881010897
numeric__credit_length_months,0.8467704934486682
numeric__apply_weekday_sin,0.7991650630864878
numeric__apply_weekday_cos,0.7796663278998557
numeric__income_level,0.7414267341795394
numeric__device_risk_score,0.6952505834935526
numeric__session_count,0.6848622093800107
numeric__ip_change_freq,0.6005526771798153
numeric__page_depth,0.39114931197697217
categorical__marital_status_1,0.38223678117312626
categorical__gender_0,0.19549617668243321
categorical__city_tier_1,0.19305395743314194
categorical__repayment_period_6,0.18958666471002697
categorical__education_level_3,0.18722305242351392
categorical__repayment_period_24,0.17323379910152967
categorical__marital_status_2,0.17285439515747852
categorical__gender_1,0.16760218604828872
categorical__repayment_period_12,0.16719807093021063
categorical__city_tier_3,0.16264407132481126
categorical__education_level_2,0.14232912298725714
categorical__repayment_period_3,0.13720373840804634
categorical__city_tier_2,0.13073777378033632
categorical__education_level_1,0.12862133533426195
categorical__education_level_4,0.12604218805656425
categorical__city_tier_4,0.09489755700025561
categorical__device_type_0,0.0858741292810512
categorical__device_type_1,0.08528733581986508
categorical__repayment_period_36,0.07616829504814948
categorical__device_type_2,0.06609479851088636
numeric__apply_is_night,0.06264357230541277
categorical__education_level_5,0.045770581236622046
numeric__apply_is_weekend,0.03232405595009461
categorical__marital_status_0,0.03192045662887968
